Extension,Permissions
/home/minhyuk/Desktop/Download_extension/Extensions/productivity/education/mlhofhddnebfkjoialgecpehddcpmipf_1.3.zip,tabs
/home/minhyuk/Desktop/Download_extension/Extensions/productivity/tools/eknklfmpancpjepiepnopoedekiifklh_0.5.0.zip,None
/home/minhyuk/Desktop/Download_extension/Extensions/productivity/tools/eplbdepeknnmfphebjlgnhijimcaiffk_1.1.zip,tabs
/home/minhyuk/Desktop/Download_extension/Extensions/productivity/education/cgeddmfhnoonnegcmjllmjjndpgipdmj_1.0.zip,None
/home/minhyuk/Desktop/Download_extension/Extensions/productivity/workflow/dfckchceomnbpfnehijdneobbfkmnafg_1.2.zip,"cookies, tabs"
/home/minhyuk/Desktop/Download_extension/Extensions/productivity/education/ndnbpbolkacjjcjhmgfoleilolocmnhg_1.1.0.zip,"cookies, tabs"
/home/minhyuk/Desktop/Download_extension/Extensions/lifestyle/social/bcapkjdflmojjmfhdkofiichkncdglkd_1.0.0.zip,None
/home/minhyuk/Desktop/Download_extension/Extensions/lifestyle/fun/gaplajbgemfaknneedanchfgaocdenhk_1.0.zip,clipboardWrite
/home/minhyuk/Desktop/Download_extension/Extensions/productivity/workflow/fehcbmngdgagfalpnfphdhojfdcoblgc_1.11.3.zip,None
/home/minhyuk/Desktop/Download_extension/Extensions/other/nhhakjbdlgcgkjpkkpdamoppipmcofnl_1.0.zip,None
/home/minhyuk/Desktop/Download_extension/Extensions/lifestyle/fun/lmmljiodanlnbmcmdbhikjcognckoalj_1.1.0.zip,None
/home/minhyuk/Desktop/Download_extension/Extensions/productivity/tools/epaaodcghkihihignoagkngagbnenlem_1.1.0.zip,tabs
/home/minhyuk/Desktop/Download_extension/Extensions/productivity/tools/oaejldhnfhcaldfpennnohdkogamemdk_1.0.1.zip,tabs
/home/minhyuk/Desktop/Download_extension/Extensions/lifestyle/social/iajpenjgdicpeeoemaeeeefolahoblgg_3.2.zip,tabs
/home/minhyuk/Desktop/Download_extension/Extensions/make_chrome_yours/functionality/jppjhapkichoejeceiadkbpjffbblppg_1.0.zip,tabs
/home/minhyuk/Desktop/Download_extension/Extensions/productivity/tools/jmofbpiblkickckhhfbniclkodhiomjn_1.0.zip,tabs
/home/minhyuk/Desktop/Download_extension/Extensions/productivity/workflow/knooimelchgpbpblfhlgkdifnabcolin_1.2.zip,None
/home/minhyuk/Desktop/Download_extension/Extensions/productivity/tools/oghimpfblejlggkilihglgbfhkmkjlel_0.0.9.zip,None
/home/minhyuk/Desktop/Download_extension/Extensions/productivity/workflow/lekicljlfecboidmmpeidlohkbbagdic_0.0.0.1.zip,None
/home/minhyuk/Desktop/Download_extension/Extensions/productivity/workflow/iajafhoaenbbggpaicppbgaadgdgjcgd_1.0.0.zip,"history, bookmarks"
/home/minhyuk/Desktop/Download_extension/Extensions/lifestyle/fun/kmjockgnaaolnepjkbclpmfgojmhhnem_1.0.4.zip,None
/home/minhyuk/Desktop/Download_extension/Extensions/productivity/developer/offpnjldifddbopdmimolhcjniloicin_1.3.0.zip,None
/home/minhyuk/Desktop/Download_extension/Extensions/make_chrome_yours/accessibility/bnggohgfcbpbanafhghbhapmfpacophp_0.3.zip,None
/home/minhyuk/Desktop/Download_extension/Extensions/productivity/workflow/cmimekokohcpcilgeelcenpcaihinkoa_1.0.2.zip,tabs
/home/minhyuk/Desktop/Download_extension/Extensions/lifestyle/art/mimlkmcnehkeijoijgbojofejmmikdad_1.0.0.zip,None
/home/minhyuk/Desktop/Download_extension/Extensions/art/ipjgjeidnhcjebnofmakiejfbepojenc_1.0.0.zip,None
/home/minhyuk/Desktop/Download_extension/Extensions/lifestyle/social/hapackcnjagkljgfjlgonohbabnfgopc_1.0.3.zip,None
/home/minhyuk/Desktop/Download_extension/Extensions/lifestyle/fun/hmddfalndciigbdmikpibaleammmkcbm_1.3.zip,None
/home/minhyuk/Desktop/Download_extension/Extensions/make_chrome_yours/accessibility/dfenamognkbagmjcpojkmaofaddocagm_0.0.7.zip,None
/home/minhyuk/Desktop/Download_extension/Extensions/productivity/tools/odpbodnlmkkkoeghddnpnckjmjeeoiel_1.5.zip,None
