ZIP File,Permissions,File System,Network,Rendering,User Interaction
immkojolaicdjhkbbhkldmndhfjbehmf_2.0.zip,"[""storage"", ""activeTab"", ""tabs"", ""identity"", ""downloads""]","{""new Blob"": 5}","{""fetch"": 15}","{""document.createElement"": 33, ""document.querySelector"": 19, ""setTimeout"": 13, ""document.getElementById"": 9, ""chrome.tabs.create"": 6, ""new MutationObserver"": 3}","{""addEventListener"": 38}"
ecimbckphddmmgndcogbedhflgefdkfl_1.0.0.zip,"[""storage"", ""unlimitedStorage""]","{""new Blob"": 5, ""navigator.clipboard.writeText"": 2, ""localStorage.setItem"": 1}","{""fetch"": 17, ""new XMLHttpRequest"": 1}","{""setTimeout"": 47, ""document.createElement"": 13, ""document.querySelector"": 7, ""setInterval"": 5, ""document.getElementById"": 4, ""new MutationObserver"": 2}","{""addEventListener"": 31}"
ffoaionfhimmackfabhedcmcbdfojmlg_1.1.zip,"[""notifications"", ""storage"", ""declarativeNetRequest""]","{""indexedDB.open"": 2, ""store.put"": 2}","{""fetch"": 23}","{""document.querySelector"": 5, ""setTimeout"": 5, ""document.getElementById"": 4, ""document.createElement"": 2, ""chrome.tabs.create"": 2}","{""addEventListener"": 7}"
pjkdapbendchlkjkmgcpfckodiomjjnl_1.0.11.zip,"[""notifications"", ""videoCapture"", ""audioCapture"", ""contextMenus"", ""storage"", ""https://*/*"", ""http://*/*"", ""wss://*/*"", ""ws://*/*""]","{""new Blob"": 15, ""localStorage.getItem"": 7, ""localStorage.setItem"": 6}","{""fetch"": 64, ""new XMLHttpRequest"": 11, ""new WebSocket"": 5, ""new RTCPeerConnection"": 5}","{""setTimeout"": 327, ""document.createElement"": 73, ""setInterval"": 16, ""document.querySelector"": 14, ""document.getElementById"": 8, ""chrome.tabs.create"": 1}","{""addEventListener"": 166}"
ojfioaiamehlfhhjenebofdkoldbfcoc_3.5.zip,"[""storage"", ""cookies"", ""alarms"", ""activeTab"", ""scripting""]","{""localStorage.getItem"": 8, ""localStorage.setItem"": 7, ""indexedDB.open"": 3, ""new Blob"": 1, ""document.cookie"": 1}","{""fetch"": 31, ""navigator.sendBeacon"": 2, ""new XMLHttpRequest"": 1}","{""setTimeout"": 55, ""document.createElement"": 28, ""document.getElementById"": 8, ""document.querySelector"": 5, ""setInterval"": 3, ""window.open"": 2, ""new MutationObserver"": 1}","{""addEventListener"": 48, ""chrome.alarms.create"": 1, ""window.prompt"": 1}"
mmfiaikmjhpggojgalplfnlplbkglbjc_1.0.17.19.zip,"[""clipboardWrite"", ""alarms"", ""activeTab"", ""tabCapture"", ""tabs"", ""storage"", ""scripting"", ""desktopCapture""]","{""localStorage.setItem"": 9, ""localStorage.getItem"": 7, ""new Blob"": 4, ""indexedDB.open"": 3, ""document.cookie"": 3, ""navigator.clipboard.writeText"": 1}","{""fetch"": 125, ""new XMLHttpRequest"": 5}","{""document.createElement"": 214, ""setTimeout"": 204, ""document.querySelector"": 92, ""setInterval"": 58, ""document.getElementById"": 39, ""element.style"": 22, ""window.open"": 18, ""new MutationObserver"": 14, ""element.innerHTML"": 7, ""chrome.tabs.create"": 1}","{""addEventListener"": 419, ""chrome.alarms.create"": 1, ""chrome.tabs.onActivated.addListener"": 1}"
bbffceeggdgjkbmigbncmgemmelnileh_0.0.5.zip,"[""activeTab"", ""scripting""]",{},"{""fetch"": 2}","{""document.createElement"": 5, ""document.querySelector"": 1}","{""addEventListener"": 2}"
jllceliamggkpffccbefpefgmcigaglb_2.7.4.zip,"[""storage""]","{""navigator.clipboard.writeText"": 2}",{},"{""document.getElementById"": 47, ""document.createElement"": 18, ""setTimeout"": 1}","{""addEventListener"": 36}"
gilcikmbohiiolfaocbdaloamhenbifk_1.4.zip,"[""tabs"", ""storage"", ""scripting""]",{},{},"{""document.getElementById"": 4}","{""addEventListener"": 2, ""chrome.tabs.onActivated.addListener"": 1}"
ancbpbjhhcnaaommbadhfnaplbokllnb_2.15.zip,"[""activeTab"", ""storage""]","{""localStorage.setItem"": 1, ""localStorage.getItem"": 1}","{""fetch"": 16}","{""document.querySelector"": 66, ""document.createElement"": 57, ""setTimeout"": 25, ""setInterval"": 20, ""document.getElementById"": 9, ""new MutationObserver"": 3, ""element.innerHTML"": 1}","{""addEventListener"": 40}"
